value,count
"$42,550",53
"$47,400",53
"$46,600",53
"$35,790",53
"$80,300",52
"$70,450",52
"$50,390",52
"$28,931",52
"$23,880",52
"$53,998",52
"$50,980",52
"$54,999",52
"$26,590",52
"$9,900",52
"$36,700",52
"$9,700",52
"$59,900",52
"$32,200",52
"$9,950",52
"$88,130",52
"$55,090",52
"$44,190",51
"$13,700",51
"$27,379",51
"$59,998",51
"$51,450",51
"$28,700",51
"$8,900",51
"$51,998",51
"$38,400",51
"$83,300",51
"$7,800",51
"$41,080",51
"$30,100",51
"$71,190",51
"$46,900",51
"$52,780",51
"$40,670",51
"$49,100",50
"$28,300",50
"$39,370",50
"$13,980",50
"$26,980",50
"$84,130",50
"$36,991",50
"$37,630",50
"$50,510",50
"$52,030",50
"$68,500",50
"$55,999",50
"$26,593",50
"$26,800",50
"$48,414",50
"$38,800",50
"$52,400",50
"$44,870",50
"$31,600",50
"$31,800",50
"$60,900",50
"$53,999",50
"$68,200",50
"$46,999",50
"$82,200",50
"$23,980",50
"$75,450",50
"$12,700",50
"$12,300",50
"$59,805",50
"$8,700",50
"$26,400",49
"$39,400",49
"$51,090",49
"$42,480",49
"$35,200",49
"$2,800",49
"$37,490",49
"$46,380",49
"$46,190",49
"$63,450",49
"$56,380",49
"$69,900",49
"$58,750",49
"$105,130",49
"$67,690",49
"$8,200",49
"$32,980",49
"$50,850",49
"$6,999",49
"$38,245",49
"$57,899",49
"$53,250",49
"$31,400",49
"$31,200",49
"$42,882",49
"$34,980",49
"$52,940",48
"$12,800",48
"$35,290",48
"$49,890",48
"$50,995",48
"$10,700",48
"$33,295",48
"$58,998",48
"$32,880",48
"$18,900",48
"$46,205",48
"$58,815",48
"$1,200",48
"$49,780",48
"$37,400",48
"$43,900",48
"$58,995",48
"$72,700",48
"$46,995",48
"$23,400",48
"$50,940",48
"$51,850",48
"$89,790",48
"$51,085",48
"$6,300",48
"$35,600",48
"$80,600",48
"$53,410",48
"$50,120",48
"$27,600",48
"$24,590",47
"$58,420",47
"$58,370",47
"$34,095",47
"$29,200",47
"$52,820",47
"$9,750",47
"$56,900",47
"$12,990",47
"$44,400",47
"$11,990",47
"$47,290",47
"$27,880",47
"$31,980",47
"$47,450",47
"$10,990",46
"$8,300",46
"$8,600",46
"$69,690",46
"$77,700",46
"$32,600",46
"$40,900",46
"$20,900",46
"$92,000",46
"$32,180",46
"$33,980",46
"$52,800",46
"$87,630",46
"$50,999",46
"$36,495",46
"$44,950",46
"$30,185",46
"$39,580",46
"$93,290",46
"$61,100",46
"$47,880",46
"$12,650",46
"$58,999",46
"$56,640",46
"$39,200",46
"$50,250",46
"$41,800",46
"$26,600",46
"$31,300",46
"$34,700",46
"$85,500",45
"$27,670",45
"$51,375",45
"$77,900",45
"$73,940",45
"$44,790",45
"$69,100",45
"$49,080",45
"$100,130",45
"$56,605",45
"$25,991",45
"$16,750",45
"$53,800",45
"$42,380",45
"$13,750",45
"$24,400",45
"$38,600",45
"$48,690",45
"$48,750",45
"$46,880",45
"$30,600",45
"$87,000",45
"$14,750",45
"$40,800",45
"$7,300",45
"$53,995",44
"$97,290",44
"$17,800",44
"$77,500",44
"$34,495",44
"$47,900",44
"$30,700",44
"$36,880",44
"$47,930",44
"$11,900",44
"$81,380",44
"$31,888",44
"$44,499",44
"$45,900",44
"$8,400",44
"$77,856",44
"$5,800",44
"$33,950",44
"$79,100",44
"$91,630",44
$800,43
"$37,495",43
"$1,800",43
"$56,800",43
"$55,590",43
"$51,695",43
"$44,700",43
"$57,490",43
"$52,320",43
"$45,280",43
"$11,200",43
"$49,470",43
"$99,790",43
"$23,300",43
"$56,999",43
"$56,995",43
"$89,630",43
"$40,600",43
"$87,130",43
"$86,000",43
"$2,200",43
"$25,800",43
"$37,600",43
"$41,600",43
"$58,150",43
"$70,500",43
"$39,760",43
"$23,800",43
"$43,300",43
"$70,200",43
"$65,200",43
"$24,795",43
"$30,400",43
"$24,750",43
"$7,900",43
"$64,995",43
"$54,900",43
"$34,100",43
"$95,000",43
"$27,300",43
"$65,790",43
"$37,590",43
"$41,350",42
"$73,500",42
"$42,400",42
"$90,130",42
"$49,490",42
"$11,700",42
"$59,800",42
"$36,895",42
"$27,700",42
"$10,800",42
"$66,700",42
"$42,300",42
"$23,700",42
"$81,290",42
"$12,991",42
"$81,440",42
"$10,200",42
"$28,100",42
"$73,290",42
"$38,880",42
"$46,800",42
"$29,290",42
"$45,740",42
"$25,600",41
"$4,900",41
"$50,320",41
"$43,295",41
"$60,990",41
"$62,995",41
"$52,995",41
"$19,800",41
"$11,800",41
"$38,560",41
"$68,690",41
"$44,440",41
"$67,995",41
"$42,450",41
"$30,750",41
"$47,495",41
"$101,290",41
"$13,900",41
"$50,680",41
"$11,991",41
"$31,714",41
"$50,750",41
"$53,358",41
"$6,700",41
"$4,999",41
"$60,600",41
"$5,900",41
"$53,300",41
"$46,400",41
"$32,275",41
"$40,995",41
"$7,200",41
"$47,790",41
"$17,988",41
"$4,700",41
"$91,290",41
"$36,980",41
"$7,998",41
"$61,900",41
"$24,300",40
"$15,980",40
"$49,991",40
"$65,995",40
"$22,988",40
"$18,988",40
"$26,700",40
"$33,895",40
"$55,100",40
"$9,300",40
"$66,657",40
"$6,400",40
"$55,998",40
"$39,800",40
"$76,630",40
"$76,800",40
"$35,100",40
"$29,750",40
"$38,760",40
"$57,380",40
"$84,990",40
"$27,980",40
"$54,998",40
"$23,590",40
"$38,750",40
"$14,800",40
"$28,750",40
"$17,980",40
"$67,300",40
"$26,300",40
"$51,940",40
"$24,988",40
"$39,880",40
"$41,230",40
"$57,070",40
"$35,300",40
"$44,750",40
"$9,200",40
"$46,100",40
"$14,700",40
"$85,130",40
"$81,500",40
"$36,845",39
"$23,499",39
"$39,950",39
"$52,998",39
"$41,050",39
"$35,880",39
"$36,100",39
"$22,800",39
"$17,880",39
"$40,750",39
"$17,590",39
"$67,130",39
"$55,995",39
"$5,999",39
"$14,200",39
"$84,500",39
"$50,800",39
"$30,590",39
"$102,790",39
"$60,127",39
"$39,100",39
"$98,130",39
"$39,980",39
"$77,200",39
"$50,705",39
"$38,790",39
"$50,570",39
"$91,130",39
"$42,145",39
"$16,590",39
"$50,600",39
"$89,190",39
"$18,400",39
"$38,300",39
"$20,590",39
"$49,850",39
"$43,748",39
"$11,400",39
"$26,200",39
"$24,250",39
"$22,590",39
"$12,600",39
"$49,610",39
"$39,997",39
"$72,583",38
$200,38
"$34,750",38
"$57,250",38
"$10,900",38
"$64,200",38
"$60,550",38
"$30,980",38
"$64,999",38
"$43,800",38
"$58,880",38
"$56,600",38
"$19,980",38
"$53,610",38
"$66,400",38
"$33,750",38
"$45,300",38
"$44,410",38
"$26,880",38
"$13,650",38
"$48,050",38
"$27,499",38
"$59,880",38
"$46,300",38
"$57,900",38
"$29,100",38
"$62,790",38
"$58,900",38
"$40,110",38
"$59,250",38
"$29,590",38
"$93,550",38
"$115,000",37
"$30,880",37
"$96,500",37
"$43,940",37
"$10,750",37
"$39,060",37
"$38,970",37
"$54,250",37
"$104,790",37
"$32,499",37
"$68,600",37
"$72,190",37
"$38,670",37
"$38,991",37
"$14,400",37
"$46,580",37
"$84,630",37
"$13,600",37
"$48,170",37
"$22,980",37
"$9,600",37
"$44,300",37
"$42,980",37
"$56,998",37
"$85,800",37
"$7,950",37
"$50,440",37
"$42,940",37
"$61,400",37
"$81,393",37
"$74,290",37
"$54,750",37
"$52,973",37
"$105,000",37
"$53,400",37
"$34,950",37
"$67,630",37
"$45,600",37
"$72,200",37
"$78,630",37
"$49,460",37
"$72,290",36
"$7,400",36
"$51,120",36
"$73,190",36
"$6,900",36
"$41,640",36
"$4,600",36
"$91,300",36
"$76,700",36
"$71,300",36
"$57,999",36
"$15,700",36
"$3,900",36
"$95,200",36
"$32,490",36
"$15,988",36
"$89,000",36
"$51,345",36
"$51,890",36
"$59,945",36
"$69,200",36
"$47,080",36
"$15,200",36
"$44,997",36
"$12,750",36
"$47,980",36
"$41,490",36
"$7,600",36
"$48,660",36
"$84,440",36
"$57,300",36
"$58,920",36
"$54,300",36
"$31,100",36
"$80,440",36
"$81,700",35
"$110,000",35
"$57,837",35
"$48,400",35
"$88,500",35
"$35,499",35
"$84,200",35
"$47,600",35
"$11,250",35
"$86,200",35
"$23,200",35
"$47,750",35
"$57,800",35
"$2,600",35
"$111,630",35
"$15,250",35
"$5,600",35
"$50,060",35
"$31,950",35
"$50,110",35
"$92,630",35
"$46,750",35
"$75,600",35
"$64,790",35
"$40,400",35
"$33,845",35
"$91,550",35
"$81,600",35
"$16,250",35
"$79,700",35
"$23,100",35
"$32,991",35
"$78,500",35
"$62,990",35
"$64,700",35
"$50,300",35
"$51,095",35
"$43,030",35
"$61,600",35
"$22,400",35
"$59,370",35
"$51,490",35
"$113,000",35
"$37,880",35
"$109,500",35
"$40,100",35
"$49,590",35
"$82,630",35
"$2,900",34
"$49,280",34
"$24,888",34
"$82,500",34
"$40,643",34
$400,34
"$35,220",34
"$51,070",34
"$32,695",34
"$83,200",34
"$27,250",34
"$5,300",34
"$50,780",34
"$67,650",34
"$3,700",34
"$10,250",34
"$70,590",34
"$40,170",34
"$73,100",34
"$13,400",34
"$40,300",34
"$40,590",34
"$64,900",34
"$9,990",34
"$67,700",34
"$39,750",34
"$58,327",34
"$52,610",34
"$52,890",34
"$53,095",34
"$94,290",34
"$56,490",34
"$63,400",34
"$10,300",34
"$71,860",34
"$7,750",34
"$82,690",34
"$10,991",34
"$44,830",34
"$96,290",34
"$50,890",34
"$48,490",34
"$63,800",34
"$56,750",34
"$21,590",34
"$19,250",34
"$22,700",34
"$61,999",34
"$51,820",34
"$78,300",33
"$56,100",33
"$75,800",33
"$32,950",33
"$8,991",33
"$33,997",33
"$82,440",33
"$83,800",33
"$7,700",33
"$48,447",33
"$62,150",33
"$25,700",33
"$98,630",33
"$2,300",33
"$86,630",33
"$49,930",33
"$44,450",33
"$37,991",33
"$30,200",33
"$34,590",33
"$68,700",33
"$41,240",33
"$66,315",33
"$57,998",33
"$19,988",33
"$48,410",33
"$18,750",33
"$4,300",33
"$35,495",33
"$47,800",33
"$47,590",33
"$48,590",33
"$14,300",33
"$60,400",33
"$63,715",33
"$42,470",33
"$98,000",33
"$76,100",33
"$17,750",33
"$69,990",33
"$15,600",33
"$79,995",33
"$47,795",33
"$46,595",33
"$45,290",33
"$16,800",33
"$64,998",33
"$54,800",33
"$23,600",33
"$12,400",33
"$41,560",33
"$51,230",33
"$94,130",33
"$88,700",33
"$82,700",33
"$55,795",33
"$29,499",33
"$22,880",32
"$85,700",32
"$46,280",32
"$96,700",32
"$50,195",32
"$54,970",32
"$50,370",32
"$20,800",32
"$41,250",32
"$49,860",32
"$111,500",32
"$93,300",32
"$19,590",32
"$87,790",32
"$44,940",32
"$67,200",32
"$51,800",32
"$39,991",32
"$35,980",32
"$79,630",32
"$96,300",32
"$97,550",32
"$37,250",32
"$93,630",32
"$95,800",32
"$56,040",32
"$31,280",32
"$60,350",32
"$50,100",32
"$49,980",32
"$30,245",32
"$11,650",32
"$50,490",32
"$30,680",32
"$14,650",32
"$19,880",32
"$3,600",32
"$72,220",32
"$45,380",32
"$49,620",32
"$19,997",32
"$47,947",32
"$93,700",32
"$10,400",32
"$66,815",32
"$51,300",32
"$63,750",32
"$27,120",32
"$58,349",32
"$46,230",32
"$58,380",32
"$38,710",32
